tool_name	profile_level	dataset	sample_id	0	1	2	3	4	5	6	7	8
Ganon	strain_level	simlow-subsample0.1	clr	-	-	-	-	-	-	-	-	-
KMCP	strain_level	simlow-subsample0.1	clr	-	-	-	-	-	-	-	-	-
Kraken2	strain_level	simlow-subsample0.1	clr	0.346	0.933	0.505	0.904	0.072	0.005	0.360	0.396	0.198
Centrifuge	strain_level	simlow-subsample0.1	clr	0.158	0.933	0.270	0.918	0.059	0.003	0.235	0.309	0.155
Centrifuger	strain_level	simlow-subsample0.1	clr	0.455	0.933	0.612	0.907	0.060	0.004	0.282	0.304	0.152
MetaMaps	strain_level	simlow-subsample0.1	clr	0.841	0.883	0.862	0.867	0.049	0.004	0.302	0.258	0.129
