tool_name	profile_level	dataset	sample_id	0	1	2	3	4	5	6	7	8
PanTax	strain_level	simlow-sub0.001	clr	0.949	0.933	0.941	0.924	0.046	0.003	0.207	0.214	0.107
PanTax (fast)	strain_level	simlow-sub0.001	clr	0.979	0.783	0.870	0.783	0.066	0.005	0.381	0.314	0.157
Sylph	strain_level	simlow-sub0.001	clr	0.978	0.750	0.849	0.740	0.062	0.005	0.409	0.337	0.169
Ganon	strain_level	simlow-sub0.001	clr	-	-	-	-	-	-	-	-	-
KMCP	strain_level	simlow-sub0.001	clr	-	-	-	-	-	-	-	-	-
Kraken2	strain_level	simlow-sub0.001	clr	0.059	0.933	0.111	0.901	0.084	0.008	0.493	0.571	0.286
Centrifuge	strain_level	simlow-sub0.001	clr	0.027	0.933	0.052	0.906	0.070	0.006	0.336	0.439	0.220
Centrifuger	strain_level	simlow-sub0.001	clr	0.100	0.933	0.181	0.903	0.074	0.004	0.312	0.375	0.188
MetaMaps	strain_level	simlow-sub0.001	clr	0.483	0.933	0.636	0.899	0.053	0.005	0.335	0.296	0.148
