tool_name	profile_level	dataset	sample_id	0	1	2	3	4	5	6	7	8
PanTax	strain_level	simhigh-sub0.01	hifi	0.939	0.783	0.854	0.723	0.021	0.000	0.394	0.441	0.221
PanTax (fast)	strain_level	simhigh-sub0.01	hifi	0.945	0.738	0.829	0.675	0.023	0.000	0.466	0.512	0.256
Ganon	strain_level	simhigh-sub0.01	hifi	0.502	0.789	0.613	0.749	0.017	0.000	0.311	0.377	0.209
KMCP	strain_level	simhigh-sub0.01	hifi	0.897	0.496	0.639	0.434	0.037	0.001	0.889	0.954	0.477
Kraken2	strain_level	simhigh-sub0.01	hifi	0.238	0.788	0.365	0.724	0.019	0.000	0.322	0.521	0.260
Centrifuge	strain_level	simhigh-sub0.01	hifi	0.290	0.788	0.424	0.740	0.018	0.000	0.289	0.459	0.229
Centrifuger	strain_level	simhigh-sub0.01	hifi	0.301	0.795	0.437	0.748	0.018	0.000	0.271	0.442	0.221
MetaMaps	strain_level	simhigh-sub0.01	hifi	0.362	0.772	0.493	0.698	0.020	0.000	0.307	0.463	0.232
