tool_name	profile_level	dataset	sample_id	0	1	2	3	4	5	6	7	8
PanTax	strain_level	simlow-subsample0.5	ontR10	0.659	0.933	0.772	0.922	0.049	0.003	0.280	0.282	0.141
PanTax (fast)	strain_level	simlow-subsample0.5	ontR10	0.680	0.850	0.756	0.842	0.061	0.004	0.321	0.304	0.152
Ganon	strain_level	simlow-subsample0.5	ontR10	0.602	0.933	0.732	0.918	0.060	0.006	0.409	0.400	0.242
KMCP	strain_level	simlow-subsample0.5	ontR10	0.972	0.583	0.729	0.574	0.116	0.011	0.845	0.682	0.341
Kraken2	strain_level	simlow-subsample0.5	ontR10	0.177	0.933	0.297	0.919	0.069	0.003	0.273	0.280	0.140
Centrifuge	strain_level	simlow-subsample0.5	ontR10	0.234	0.933	0.375	0.929	0.050	0.003	0.151	0.211	0.105
Centrifuger	strain_level	simlow-subsample0.5	ontR10	0.295	0.933	0.448	0.924	0.051	0.003	0.216	0.221	0.110
MetaMaps	strain_level	simlow-subsample0.5	ontR10	0.577	0.933	0.713	0.918	0.035	0.002	0.162	0.161	0.080
