tool_name	profile_level	dataset	sample_id	0	1	2	3	4	5	6	7	8
PanTax (fast)	strain_level	simhigh-gtdb-mut0.01	ontR10	1.000	0.892	0.943	0.892	0.012	0.000	0.245	0.235	0.117
Ganon	strain_level	simhigh-gtdb-mut0.01	ontR10	0.924	0.998	0.960	0.995	0.034	0.001	0.927	0.926	0.819
KMCP	strain_level	simhigh-gtdb-mut0.01	ontR10	1.000	0.875	0.933	0.875	0.015	0.000	0.336	0.311	0.155
Kraken2	strain_level	simhigh-gtdb-mut0.01	ontR10	0.243	1.000	0.391	1.000	0.008	0.000	0.193	0.212	0.106
Centrifuge	strain_level	simhigh-gtdb-mut0.01	ontR10	0.246	1.000	0.395	1.000	0.005	0.000	0.113	0.130	0.065
Centrifuger	strain_level	simhigh-gtdb-mut0.01	ontR10	0.464	1.000	0.634	1.000	0.007	0.000	0.172	0.199	0.100
