tool_name	profile_level	dataset	sample_id	0	1	2	3	4	5	6	7	8
PanTax	strain_level	simhigh-sub0.001	ngs	0.864	0.778	0.819	0.700	0.021	0.000	0.377	0.472	0.236
PanTax (fast)	strain_level	simhigh-sub0.001	ngs	0.867	0.778	0.820	0.697	0.021	0.000	0.367	0.467	0.234
Ganon	strain_level	simhigh-sub0.001	ngs	0.210	0.790	0.332	0.722	0.024	0.000	0.511	0.621	0.318
KMCP	strain_level	simhigh-sub0.001	ngs	0.556	0.761	0.643	0.719	0.020	0.000	0.359	0.532	0.266
Kraken2	strain_level	simhigh-sub0.001	ngs	0.079	0.788	0.144	0.725	0.027	0.001	0.684	0.828	0.414
Bracken	strain_level	simhigh-sub0.001	ngs	0.131	0.788	0.224	0.743	0.018	0.000	0.280	0.478	0.239
Centrifuge	strain_level	simhigh-sub0.001	ngs	0.074	0.788	0.135	0.725	0.025	0.001	0.636	0.793	0.397
Centrifuger	strain_level	simhigh-sub0.001	ngs	0.198	0.792	0.317	0.738	0.022	0.000	0.462	0.615	0.308
