tool_name	profile_level	dataset	sample_id	0	1	2	3	4	5	6	7	8
PanTax	strain_level	simhigh-sub0.001	clr	0.920	0.786	0.848	0.721	0.021	0.000	0.390	0.447	0.223
PanTax (fast)	strain_level	simhigh-sub0.001	clr	0.917	0.738	0.818	0.666	0.022	0.000	0.443	0.506	0.253
Ganon	strain_level	simhigh-sub0.001	clr	-	-	-	-	-	-	-	-	-
KMCP	strain_level	simhigh-sub0.001	clr	-	-	-	-	-	-	-	-	-
Kraken2	strain_level	simhigh-sub0.001	clr	0.169	0.788	0.278	0.719	0.020	0.000	0.414	0.634	0.317
Centrifuge	strain_level	simhigh-sub0.001	clr	0.160	0.785	0.266	0.737	0.019	0.000	0.356	0.550	0.275
Centrifuger	strain_level	simhigh-sub0.001	clr	0.233	0.795	0.360	0.746	0.019	0.000	0.311	0.520	0.260
MetaMaps	strain_level	simhigh-sub0.001	clr	0.396	0.772	0.523	0.682	0.023	0.000	0.399	0.535	0.267
