tool_name	profile_level	dataset	sample_id	0	1	2	3	4	5	6	7	8
PanTax	strain_level	simhigh	hifi	0.945	0.775	0.852	0.714	0.021	0.000	0.404	0.451	0.226
PanTax (fast)	strain_level	simhigh	hifi	0.940	0.778	0.851	0.712	0.021	0.000	0.401	0.450	0.225
Sylph	strain_level	simhigh	hifi	0.894	0.555	0.685	0.510	0.033	0.001	0.754	0.836	0.418
Ganon	strain_level	simhigh	hifi	0.463	0.789	0.584	0.728	0.019	0.000	0.302	0.425	0.217
KMCP	strain_level	simhigh	hifi	0.884	0.479	0.621	0.412	0.038	0.001	0.900	0.982	0.491
Kraken2	strain_level	simhigh	hifi	0.246	0.787	0.375	0.727	0.019	0.000	0.319	0.508	0.254
Centrifuge	strain_level	simhigh	hifi	0.298	0.787	0.432	0.739	0.018	0.000	0.284	0.451	0.225
Centrifuger	strain_level	simhigh	hifi	0.310	0.792	0.445	0.745	0.018	0.000	0.274	0.437	0.218
MetaMaps	strain_level	simhigh	hifi	0.354	0.772	0.485	0.705	0.019	0.000	0.283	0.447	0.224
