tool_name	profile_level	dataset	sample_id	0	1	2	3	4	5	6	7	8
PanTax	strain_level	spiked_in_eight_species666_large_pangenome	ontR9	1.000	1.000	1.000	1.000	0.048	0.016	0.145	0.128	0.064
Ganon	strain_level	spiked_in_eight_species666_large_pangenome	ontR9	1.000	1.000	1.000	1.000	0.112	0.026	0.290	0.208	0.104
KMCP	strain_level	spiked_in_eight_species666_large_pangenome	ontR9	1.000	0.250	0.400	0.250	0.552	0.153	1.147	1.223	0.612
Kraken2	strain_level	spiked_in_eight_species666_large_pangenome	ontR9	0.800	1.000	0.889	1.000	0.064	0.021	0.205	0.181	0.091
Centrifuge	strain_level	spiked_in_eight_species666_large_pangenome	ontR9	0.800	1.000	0.889	1.000	0.052	0.018	0.167	0.142	0.071
Centrifuger	strain_level	spiked_in_eight_species666_large_pangenome	ontR9	0.800	1.000	0.889	1.000	0.082	0.027	0.263	0.228	0.114
MetaMaps	strain_level	spiked_in_eight_species666_large_pangenome	ontR9	0.667	0.500	0.571	0.500	0.399	0.120	1.086	0.974	0.487
