tool_name	profile_level	dataset	sample_id	0	1	2	3	4	5	6	7	8
PanTax	strain_level	spiked_in_eight_species666_large_pangenome	hifi	1.000	1.000	1.000	1.000	0.036	0.011	0.113	0.088	0.044
Ganon	strain_level	spiked_in_eight_species666_large_pangenome	hifi	1.000	1.000	1.000	1.000	0.065	0.014	0.166	0.110	0.055
KMCP	strain_level	spiked_in_eight_species666_large_pangenome	hifi	1.000	0.750	0.857	0.750	0.166	0.047	0.518	0.379	0.190
Kraken2	strain_level	spiked_in_eight_species666_large_pangenome	hifi	0.800	1.000	0.889	1.000	0.037	0.012	0.118	0.106	0.053
Centrifuge	strain_level	spiked_in_eight_species666_large_pangenome	hifi	1.000	1.000	1.000	1.000	0.015	0.005	0.049	0.041	0.020
Centrifuger	strain_level	spiked_in_eight_species666_large_pangenome	hifi	1.000	1.000	1.000	1.000	0.014	0.005	0.044	0.038	0.019
MetaMaps	strain_level	spiked_in_eight_species666_large_pangenome	hifi	0.667	0.500	0.571	0.500	0.374	0.115	1.034	0.974	0.487
