tool_name	profile_level	dataset	sample_id	0	1	2	3	4	5	6	7	8
PanTax (fast)	strain_level	simlow-gtdb-mut0.01	ontR10	1.000	0.883	0.938	0.883	0.063	0.005	0.281	0.276	0.138
Ganon	strain_level	simlow-gtdb-mut0.01	ontR10	0.958	0.767	0.852	0.751	0.162	0.017	0.999	0.999	0.998
KMCP	strain_level	simlow-gtdb-mut0.01	ontR10	-	-	-	-	-	-	-	-	-
Kraken2	strain_level	simlow-gtdb-mut0.01	ontR10	0.054	1.000	0.102	1.000	0.032	0.002	0.130	0.154	0.077
Centrifuge	strain_level	simlow-gtdb-mut0.01	ontR10	0.075	1.000	0.139	1.000	0.023	0.001	0.082	0.107	0.053
Centrifuger	strain_level	simlow-gtdb-mut0.01	ontR10	0.114	1.000	0.205	0.999	0.048	0.004	0.290	0.310	0.155
