tool_name	profile_level	dataset	sample_id	0	1	2	3	4	5	6	7	8
PanTax (fast)	strain_level	simlow-gtdb-mut0.01	ngs	1.000	0.917	0.957	0.917	0.049	0.003	0.187	0.169	0.084
Ganon	strain_level	simlow-gtdb-mut0.01	ngs	0.190	1.000	0.320	0.983	0.094	0.010	0.674	0.590	0.362
KMCP	strain_level	simlow-gtdb-mut0.01	ngs	1.000	1.000	1.000	1.000	0.004	0.000	0.042	0.024	0.012
Kraken2	strain_level	simlow-gtdb-mut0.01	ngs	0.012	1.000	0.024	0.999	0.067	0.006	0.399	0.401	0.201
Bracken	strain_level	simlow-gtdb-mut0.01	ngs	0.071	1.000	0.132	1.000	0.014	0.001	0.049	0.092	0.046
Centrifuge	strain_level	simlow-gtdb-mut0.01	ngs	0.030	1.000	0.059	0.995	0.056	0.005	0.318	0.355	0.178
Centrifuger	strain_level	simlow-gtdb-mut0.01	ngs	0.070	1.000	0.131	1.000	0.037	0.002	0.188	0.177	0.089
