tool_name	profile_level	dataset	sample_id	0	1	2	3	4	5	6	7	8
PanTax (fast)	strain_level	simlow-gtdb-mut0.01	ontR9	1.000	0.883	0.938	0.883	0.061	0.004	0.266	0.257	0.129
Ganon	strain_level	simlow-gtdb-mut0.01	ontR9	0.980	0.833	0.901	0.816	0.162	0.017	0.999	0.999	0.998
KMCP	strain_level	simlow-gtdb-mut0.01	ontR9	-	-	-	-	-	-	-	-	-
Kraken2	strain_level	simlow-gtdb-mut0.01	ontR9	0.057	1.000	0.108	1.000	0.031	0.002	0.130	0.152	0.076
Centrifuge	strain_level	simlow-gtdb-mut0.01	ontR9	0.074	1.000	0.138	1.000	0.024	0.001	0.082	0.109	0.054
Centrifuger	strain_level	simlow-gtdb-mut0.01	ontR9	0.111	1.000	0.200	0.999	0.047	0.004	0.286	0.307	0.153
