tool_name	profile_level	dataset	sample_id	0	1	2	3	4	5	6	7	8
PanTax (fast)	strain_level	simhigh-gtdb	ontR9	1.000	0.961	0.980	0.961	0.007	0.000	0.145	0.135	0.067
Ganon	strain_level	simhigh-gtdb	ontR9	0.980	0.995	0.988	0.994	0.033	0.001	0.958	0.958	0.899
KMCP	strain_level	simhigh-gtdb	ontR9	1.000	0.511	0.676	0.511	0.034	0.001	0.943	0.917	0.458
Kraken2	strain_level	simhigh-gtdb	ontR9	0.193	1.000	0.324	1.000	0.009	0.000	0.209	0.230	0.115
Centrifuge	strain_level	simhigh-gtdb	ontR9	0.111	1.000	0.200	1.000	0.006	0.000	0.122	0.148	0.074
Centrifuger	strain_level	simhigh-gtdb	ontR9	0.388	1.000	0.559	1.000	0.009	0.000	0.215	0.254	0.127
MetaMaps	strain_level	simhigh-gtdb	ontR9	0.980	1.000	0.990	1.000	0.009	0.000	0.185	0.180	0.090
