tool_name	profile_level	dataset	sample_id	0	1	2	3	4	5	6	7	8
PanTax (fast)	strain_level	simhigh-gtdb	ngs	0.998	0.930	0.963	0.930	0.010	0.000	0.172	0.161	0.081
Ganon	strain_level	simhigh-gtdb	ngs	0.792	0.999	0.883	0.998	0.148	0.001	1.156	1.140	0.572
KMCP	strain_level	simhigh-gtdb	ngs	1.000	0.976	0.988	0.976	0.008	0.000	0.148	0.136	0.068
Kraken2	strain_level	simhigh-gtdb	ngs	0.086	1.000	0.159	0.998	0.022	0.001	0.565	0.588	0.294
Bracken	strain_level	simhigh-gtdb	ngs	0.523	1.000	0.687	1.000	0.003	0.000	0.050	0.071	0.036
Centrifuge	strain_level	simhigh-gtdb	ngs	0.210	1.000	0.347	0.999	0.021	0.001	0.516	0.539	0.269
Centrifuger	strain_level	simhigh-gtdb	ngs	0.619	1.000	0.765	1.000	0.011	0.000	0.199	0.199	0.100
