tool_name	profile_level	dataset	sample_id	0	1	2	3	4	5	6	7	8
PanTax	strain_level	zymo1	ngs	0.875	0.875	0.875	0.788	0.207	0.030	0.233	0.374	0.187
PanTax (fast)	strain_level	zymo1	ngs	0.875	0.875	0.875	0.788	0.206	0.029	0.227	0.367	0.183
Sylph	strain_level	zymo1	ngs	0.875	0.875	0.875	0.788	0.204	0.030	0.237	0.365	0.182
Ganon	strain_level	zymo1	ngs	0.014	0.875	0.027	0.788	0.202	0.039	0.273	0.438	0.238
KMCP	strain_level	zymo1	ngs	0.462	0.750	0.571	0.643	0.259	0.045	0.329	0.630	0.315
Kraken2	strain_level	zymo1	ngs	0.013	0.875	0.026	0.858	0.487	0.129	1.073	1.247	0.623
Bracken	strain_level	zymo1	ngs	0.013	0.875	0.026	0.875	0.209	0.051	0.350	0.810	0.405
Centrifuge	strain_level	zymo1	ngs	0.013	0.875	0.027	0.858	0.519	0.126	1.056	1.113	0.557
Centrifuger	strain_level	zymo1	ngs	0.013	0.875	0.026	0.839	0.210	0.044	0.301	0.666	0.333
